         10597376 function calls (10366135 primitive calls) in 71.489 seconds

   Ordered by: cumulative time
   List reduced from 3096 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7137    0.106    0.000    1.135    0.000 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\lines.py:743(draw)
        5    0.000    0.000    1.133    0.227 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\requests\api.py:14(request)
        5    0.000    0.000    1.132    0.226 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\requests\sessions.py:500(request)
      363    0.004    0.000    1.131    0.003 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axis.py:2188(_get_tick_boxes_siblings)
        5    0.000    0.000    1.123    0.225 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\requests\sessions.py:673(send)
        5    0.000    0.000    1.122    0.224 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\requests\adapters.py:590(send)
        5    0.000    0.000    1.119    0.224 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\urllib3\connectionpool.py:592(urlopen)
        5    0.000    0.000    1.117    0.223 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\urllib3\connectionpool.py:377(_make_request)
      242    0.005    0.000    1.110    0.005 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axis.py:2644(_update_label_position)
      121    0.008    0.000    1.083    0.009 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axes\_base.py:3005(_update_title_position)
     5039    0.052    0.000    1.016    0.000 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\text.py:918(get_window_extent)
      121    0.004    0.000    0.985    0.008 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axis.py:1356(get_tightbbox)
     3226    0.031    0.000    0.957    0.000 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:186(draw_text)
      726    0.002    0.000    0.956    0.001 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axis.py:1347(_get_ticklabel_bboxes)
      726    0.010    0.000    0.950    0.001 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axis.py:1351(<listcomp>)
     1452    0.005    0.000    0.930    0.001 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\offsetbox.py:785(draw)
    10530    0.909    0.000    0.909    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      121    0.002    0.000    0.817    0.007 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axis.py:2403(_update_label_position)
     7304    0.030    0.000    0.802    0.000 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:207(get_text_width_height_descent)
        4    0.000    0.000    0.787    0.197 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\requests\api.py:62(get)
      363    0.012    0.000    0.705    0.002 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\spines.py:142(get_window_extent)
    30324    0.075    0.000    0.698    0.000 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\text.py:65(_get_text_metrics_with_cache)
      726    0.003    0.000    0.665    0.001 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\dates.py:1312(__call__)
     1089    0.023    0.000    0.651    0.001 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axis.py:1533(get_minorticklocs)
      121    0.001    0.000    0.612    0.005 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\offsetbox.py:363(get_window_extent)
     1089    0.005    0.000    0.601    0.001 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\axis.py:1529(get_majorticklocs)
      523    0.574    0.001    0.574    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        5    0.000    0.000    0.566    0.113 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\urllib3\connection.py:534(getresponse)
    10530    0.033    0.000    0.566    0.000 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\backends\backend_agg.py:249(_prepare_font)
        5    0.000    0.000    0.565    0.113 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\http\client.py:1333(getresponse)
        5    0.000    0.000    0.565    0.113 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\http\client.py:313(begin)
      111    0.000    0.000    0.563    0.005 {method 'readline' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.563    0.113 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\http\client.py:280(_read_status)
       10    0.000    0.000    0.563    0.056 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\socket.py:690(readinto)
       10    0.000    0.000    0.563    0.056 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\ssl.py:1231(recv_into)
       10    0.000    0.000    0.563    0.056 C:\Users\Carst\AppData\Local\Programs\Python\Python39\lib\ssl.py:1091(read)
        5    0.000    0.000    0.549    0.110 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\urllib3\connectionpool.py:1085(_validate_conn)
        5    0.000    0.000    0.549    0.110 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\urllib3\connection.py:718(connect)
    38638    0.034    0.000    0.516    0.000 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\transforms.py:805(from_bounds)
82424/74506    0.055    0.000    0.510    0.000 C:\Users\Carst\OneDrive\Dokumente\VSC\TradingBot\.venv\lib\site-packages\matplotlib\_api\deprecation.py:292(wrapper)


